date,latitude,longitude,precipitation_m,precipitation_mm
2005-01-01,22.999693294401865,72.60115569230976,8.404254003835376e-07,0.0008404254003835376
2005-01-02,22.999693294401865,72.60115569230976,8.660680350658367e-07,0.0008660680350658367
2005-01-03,22.999693294401865,72.60115569230976,8.583068797918258e-07,0.0008583068797918258
2005-01-04,22.999693294401865,72.60115569230976,8.553265615773853e-07,0.0008553265615773853
2005-01-05,22.999693294401865,72.60115569230976,8.611053772256128e-07,0.0008611053772256128
2005-01-06,22.999693294401865,72.60115569230976,1.2915139109281881e-06,0.0012915139109281881
2005-01-07,22.999693294401865,72.60115569230976,-1.0014105100708548e-08,-1.0014105100708548e-05
2005-01-08,22.999693294401865,72.60115569230976,4.351138045421976e-07,0.0004351138045421976
2005-01-09,22.999693294401865,72.60115569230976,8.543860872123332e-07,0.0008543860872123332
2005-01-10,22.999693294401865,72.60115569230976,4.351138613856165e-07,0.0004351138613856165
2005-01-11,22.999693294401865,72.60115569230976,2.1457671550706436e-06,0.0021457671550706436
2005-01-12,22.999693294401865,72.60115569230976,1.2831475260099978e-06,0.0012831475260099978
2005-01-13,22.999693294401865,72.60115569230976,1.720138811833749e-06,0.001720138811833749
2005-01-14,22.999693294401865,72.60115569230976,8.463859444418631e-07,0.0008463859444418631
2005-01-15,22.999693294401865,72.60115569230976,1.718175724363391e-06,0.001718175724363391
2005-01-16,22.999693294401865,72.60115569230976,8.52346317969932e-07,0.000852346317969932
2005-01-17,22.999693294401865,72.60115569230976,1.7106531231547706e-06,0.0017106531231547706
2005-01-18,22.999693294401865,72.60115569230976,8.530680588592077e-07,0.0008530680588592077
2005-01-19,22.999693294401865,72.60115569230976,0.0,0.0
2005-01-20,22.999693294401865,72.60115569230976,8.553265615773853e-07,0.0008553265615773853
2005-01-21,22.999693294401865,72.60115569230976,1.1736725948452431e-05,0.011736725948452431
2005-01-22,22.999693294401865,72.60115569230976,0.0,0.0
2005-01-23,22.999693294401865,72.60115569230976,1.714103802896716e-06,0.001714103802896716
2005-01-24,22.999693294401865,72.60115569230976,0.0,0.0
2005-01-25,22.999693294401865,72.60115569230976,0.0,0.0
2005-01-26,22.999693294401865,72.60115569230976,1.4007091522216797e-06,0.0014007091522216797
2005-01-27,22.999693294401865,72.60115569230976,1.3023612837059773e-06,0.0013023612837059773
2005-01-28,22.999693294401865,72.60115569230976,0.0,0.0
2005-01-29,22.999693294401865,72.60115569230976,0.0,0.0
2005-01-30,22.999693294401865,72.60115569230976,1.2196267618946877e-05,0.012196267618946877
2005-01-31,22.999693294401865,72.60115569230976,0.00011952817436622354,0.11952817436622354
2005-02-01,22.999693294401865,72.60115569230976,8.553265615773853e-07,0.0008553265615773853
2005-02-02,22.999693294401865,72.60115569230976,8.523464316567697e-07,0.0008523464316567697
2005-02-03,22.999693294401865,72.60115569230976,1.2946860010742967e-06,0.0012946860010742967
2005-02-04,22.999693294401865,72.60115569230976,0.0,0.0
2005-02-05,22.999693294401865,72.60115569230976,0.0,0.0
2005-02-06,22.999693294401865,72.60115569230976,1.716613667213096e-06,0.001716613667213096
2005-02-07,22.999693294401865,72.60115569230976,6.10947603263412e-06,0.00610947603263412
2005-02-08,22.999693294401865,72.60115569230976,0.0,0.0
2005-02-09,22.999693294401865,72.60115569230976,0.0,0.0
